Size|Sorting Algorithm|File Name|File Input Type|Time Taken
18500|merge sort|descorder.txt|desc|0.000000
18500|heap sort|descorder.txt|desc|0.015625
19000|bubble sort|randomlist.txt|random|1.453125
19000|selection sort|randomlist.txt|random|0.593750
19000|insertion sort|randomlist.txt|random|0.390625
19000|quick sort|randomlist.txt|random|0.000000
19000|merge sort|randomlist.txt|random|0.000000
19000|heap sort|randomlist.txt|random|0.015625
19000|bubble sort|ascorder.txt|asc|0.656250
19000|selection sort|ascorder.txt|asc|0.625000
19000|insertion sort|ascorder.txt|asc|0.000000
19000|quick sort|ascorder.txt|asc|0.046875
19000|merge sort|ascorder.txt|asc|0.000000
19000|heap sort|ascorder.txt|asc|0.000000
19000|bubble sort|descorder.txt|desc|1.062500
19000|selection sort|descorder.txt|desc|0.640625
19000|insertion sort|descorder.txt|desc|0.671875
19000|quick sort|descorder.txt|desc|0.156250
19000|merge sort|descorder.txt|desc|0.000000
19000|heap sort|descorder.txt|desc|0.000000
19500|bubble sort|randomlist.txt|random|1.515625
19500|selection sort|randomlist.txt|random|0.656250
19500|insertion sort|randomlist.txt|random|0.328125
19500|quick sort|randomlist.txt|random|0.015625
19500|merge sort|randomlist.txt|random|0.000000
19500|heap sort|randomlist.txt|random|0.015625
19500|bubble sort|ascorder.txt|asc|0.640625
19500|selection sort|ascorder.txt|asc|0.687500
19500|insertion sort|ascorder.txt|asc|0.000000
19500|quick sort|ascorder.txt|asc|0.046875
19500|merge sort|ascorder.txt|asc|0.000000
19500|heap sort|ascorder.txt|asc|0.015625
19500|bubble sort|descorder.txt|desc|1.156250
19500|selection sort|descorder.txt|desc|0.703125
19500|insertion sort|descorder.txt|desc|0.718750
19500|quick sort|descorder.txt|desc|0.156250
19500|merge sort|descorder.txt|desc|0.000000
19500|heap sort|descorder.txt|desc|0.000000
20000|bubble sort|randomlist.txt|random|1.500000
20000|selection sort|randomlist.txt|random|0.734375
20000|insertion sort|randomlist.txt|random|0.359375
20000|quick sort|randomlist.txt|random|0.015625
20000|merge sort|randomlist.txt|random|0.000000
20000|heap sort|randomlist.txt|random|0.000000
20000|bubble sort|ascorder.txt|asc|1.046875
20000|selection sort|ascorder.txt|asc|0.703125
20000|insertion sort|ascorder.txt|asc|0.000000
20000|quick sort|ascorder.txt|asc|0.031250
20000|merge sort|ascorder.txt|asc|0.000000
20000|heap sort|ascorder.txt|asc|0.000000
20000|bubble sort|descorder.txt|desc|1.203125
20000|selection sort|descorder.txt|desc|0.718750
20000|insertion sort|descorder.txt|desc|0.765625
20000|quick sort|descorder.txt|desc|0.171875
20000|merge sort|descorder.txt|desc|0.000000
20000|heap sort|descorder.txt|desc|0.000000
20500|bubble sort|randomlist.txt|random|1.687500
20500|selection sort|randomlist.txt|random|0.687500
20500|insertion sort|randomlist.txt|random|0.359375
20500|quick sort|randomlist.txt|random|0.015625
20500|merge sort|randomlist.txt|random|0.000000
20500|heap sort|randomlist.txt|random|0.000000
20500|bubble sort|ascorder.txt|asc|0.734375
20500|selection sort|ascorder.txt|asc|0.734375
20500|insertion sort|ascorder.txt|asc|0.000000
20500|quick sort|ascorder.txt|asc|0.031250
